B,B_err,V,V_err,R,R_err
15.390537423606,0.5,14.795125521604445,0.03,14.469364798367685,0.03
14.91521121413881,0.5,14.427852186825534,0.03,14.085454186462409,0.03
13.386022750431852,0.5,12.013015810519425,0.03,11.791760109132408,0.03
9.03267732014699,0.5,9.955609241745904,0.03,9.97762901520806,0.03
20.112468527988376,0.5,19.301535413406985,0.03,18.443590863268795,0.03
19.77179983205812,0.5,18.09108339445552,0.03,17.421437358288028,0.03
10.98164359260608,0.5,11.291902250752516,0.03,11.157803108131551,0.03
9.910180144863638,0.5,10.086498295581196,0.03,10.01130407212214,0.03
17.808286951584304,0.5,17.077013374660133,0.03,16.544723205272103,0.03
17.673711289730754,0.5,16.398259055302,0.03,15.912259763349326,0.03
11.165432062096329,0.5,10.862680311706987,0.03,10.769840584131204,0.03
16.28530969900889,0.5,15.349483700010902,0.03,14.92161819852657,0.03
18.1218272321336,0.5,16.814083375282888,0.03,16.260431446411143,0.03
11.57572318842163,0.5,11.274020970783518,0.03,11.182616966405526,0.03
18.59969671617418,0.5,16.998802905414973,0.03,16.42425211454568,0.03
16.274659738231616,0.03,15.453200561503518,0.03,15.000804309349304,0.03
13.597201365176934,0.03,13.112663244974778,0.03,12.821285768943557,0.03
14.641334073969285,0.03,14.07666848822406,0.03,13.71138512379207,0.03
19.787339056589,0.03,18.68703303313419,0.03,17.98793914466816,0.03
20.54846537716087,0.03,19.26075605063121,0.03,18.538945878576662,0.03
11.139392255759553,0.03,10.899760956985387,0.03,10.791340857828597,0.03
12.343565301196323,0.03,11.97675769223059,0.03,11.813197907675717,0.03
11.426256729184471,0.03,11.187198005094665,0.03,10.992047069838067,0.03
14.76656261647779,0.03,14.168997056371738,0.03,13.797259264653995,0.03
11.691791530083064,0.03,11.399916479615094,0.03,11.17555445438185,0.03
17.111606009885435,0.03,16.26771064711141,0.03,15.744838443702813,0.03
15.749910426356964,0.03,15.049754511285432,0.03,14.626775194576798,0.03
11.958887614886596,0.03,11.63491886363943,0.03,11.486670065980466,0.03
